iter	Passed	Remaining
0	167	167746
1	169	84598
2	171	56947
3	173	43138
4	179	35806
5	182	30230
6	184	26192
7	186	23187
8	188	20767
9	191	18926
10	194	17478
11	206	16978
12	208	15796
13	210	14855
14	222	14584
15	223	13757
16	225	13026
17	226	12379
18	232	11997
19	234	11514
20	238	11112
21	240	10693
22	248	10572
23	250	10196
24	252	9838
25	253	9507
26	270	9751
27	284	9877
28	288	9646
29	296	9601
30	299	9364
31	301	9127
32	303	8897
33	308	8765
34	310	8555
35	322	8640
36	337	8785
37	339	8598
38	341	8412
39	350	8420
40	353	8266
41	354	8094
42	356	7930
43	366	7967
44	368	7815
45	369	7667
46	370	7520
47	372	7379
48	382	7424
49	384	7312
50	386	7198
51	388	7087
52	392	7020
53	395	6921
54	402	6915
55	405	6833
56	409	6769
57	411	6678
58	418	6675
59	420	6584
60	422	6498
61	423	6414
62	425	6330
63	443	6483
64	455	6553
65	457	6478
66	465	6485
67	467	6413
68	469	6339
69	471	6265
70	490	6417
71	494	6371
72	496	6301
73	512	6413
74	527	6511
75	543	6605
76	545	6535
77	547	6466
78	548	6396
79	550	6331
80	556	6316
81	579	6485
82	580	6415
83	596	6505
84	598	6444
85	607	6458
86	612	6428
87	614	6364
88	622	6371
89	624	6309
90	626	6259
91	628	6199
92	630	6150
93	647	6236
94	663	6320
95	678	6389
96	680	6332
97	685	6308
98	687	6254
99	689	6205
100	690	6149
101	701	6173
102	702	6119
103	717	6180
104	718	6127
105	720	6079
106	723	6038
107	725	5991
108	727	5948
109	729	5903
110	731	5862
111	733	5816
112	737	5785
113	739	5744
114	750	5778
115	752	5731
116	753	5683
117	754	5639
118	760	5633
119	762	5595
120	765	5563
121	767	5525
122	769	5487
123	780	5513
124	782	5474
125	783	5438
126	785	5398
127	794	5415
128	797	5382
129	798	5343
130	799	5305
131	801	5269
132	813	5304
133	815	5270
134	827	5301
135	830	5275
136	831	5239
137	841	5255
138	842	5221
139	844	5185
140	845	5151
141	847	5118
142	876	5254
143	878	5220
144	879	5187
145	881	5157
146	890	5166
147	891	5132
148	893	5100
149	894	5068
150	896	5041
151	909	5073
152	912	5053
153	915	5028
154	917	5000
155	918	4970
156	920	4940
157	922	4915
158	923	4886
159	930	4884
160	931	4852
161	932	4824
162	934	4796
163	936	4771
164	938	4748
165	952	4786
166	954	4761
167	980	4857
168	983	4833
169	985	4809
170	987	4785
171	994	4789
172	996	4763
173	998	4741
174	1000	4718
175	1002	4694
176	1017	4733
177	1031	4763
178	1033	4739
179	1035	4717
180	1044	4727
181	1046	4704
182	1048	4679
183	1049	4654
184	1050	4629
185	1052	4605
186	1060	4610
187	1063	4594
188	1065	4572
189	1067	4549
190	1073	4546
191	1074	4523
192	1076	4502
193	1078	4480
194	1080	4458
195	1081	4436
196	1083	4415
197	1084	4393
198	1086	4372
199	1088	4352
200	1089	4332
201	1091	4312
202	1093	4291
203	1094	4271
204	1097	4257
205	1099	4238
206	1101	4217
207	1104	4204
208	1105	4185
209	1109	4173
210	1111	4154
211	1113	4137
212	1114	4117
213	1115	4097
214	1116	4078
215	1118	4059
216	1120	4043
217	1131	4058
218	1132	4040
219	1134	4021
220	1135	4004
221	1146	4019
222	1148	4000
223	1150	3984
224	1151	3967
225	1157	3965
226	1159	3948
227	1160	3931
228	1162	3913
229	1163	3896
230	1165	3878
231	1166	3861
232	1173	3864
233	1175	3847
234	1176	3830
235	1178	3814
236	1179	3798
237	1181	3781
238	1182	3764
239	1189	3767
240	1191	3753
241	1193	3737
242	1195	3724
243	1197	3709
244	1203	3708
245	1205	3694
246	1207	3679
247	1208	3665
248	1210	3651
249	1212	3637
250	1214	3622
251	1219	3620
252	1221	3607
253	1224	3597
254	1226	3583
255	1228	3570
256	1236	3576
257	1238	3562
258	1240	3549
259	1242	3535
260	1243	3521
261	1247	3513
262	1249	3501
263	1251	3488
